phase,week,day,swim_hours,swim,bike_hours,bike,run_hours,run,total_hours,plan_id
Sprint,3,3,,,0:30,Trans (fast): Z2,0:15,Z2,0:45,4
Sprint,3,4,1:00,#1,0:45,Z1 (100+RPM),,,1:45,4
Sprint,3,5,,,,,1:00,Z2,1:00,4
Sprint,3,6,,,1:45,Z2,,,1:45,4
Sprint,3,7,,,,,1:00,Z2,1:00,4
Sprint,4,1,,,,,,,0:00,4
Sprint,4,2,1:00,#2,,,0:30,Z2,1:30,4
Sprint,4,3,,,0:30,Trans (fast): Z2,0:15,Z2,0:45,4
Sprint,4,4,1:00,#3,0:30,Z1 (100+RPM),,,1:30,4
Sprint,4,5,,,,,0:45,Z2,0:45,4
Sprint,4,6,,,1:30,Z2,,,1:30,4
Sprint,4,7,,,,,1:00,Z2,1:00,4
Sprint,5,1,,,,,,,0:00,4
Sprint,5,2,1:00,#4,,,0:45,Z2,1:45,4
Sprint,5,3,,,0:30,Trans (fast): Z2,0:15,Z2,0:45,4
Sprint,5,4,1:00,#5,0:45,Z1 (100+RPM),,,1:45,4
Sprint,5,5,,,,,1:00,Z2,1:00,4
Sprint,5,6,,,1:45,Z2,,,1:45,4
Sprint,5,7,,,,,1:00,Z1-Z2,1:00,4
Sprint,6,1,,,,,,,0:00,4
Sprint,6,2,1:00,#1,,,1:00,Z2,2:00,4
Sprint,6,3,,,0:45,Trans (fast): Z2,0:15,Z2,1:00,4
Sprint,6,4,1:00,#2,1:00,Z1 (100+RPM),,,2:00,4
Sprint,6,5,,,,,1:00,Z2,1:00,4
Sprint,6,6,,,2:00,Z2,,,2:00,4
Sprint,6,7,,,,,1:00,Z1-Z2,1:00,4
Sprint,7,1,,,,,,,0:00,4
Sprint,7,2,1:00,#3,,,1:00,Z2,2:00,4
Sprint,7,3,,,0:45,Trans (fast): Z2,0:15,Z2,1:00,4
Sprint,7,4,1:00,#4,1:00,Z1 (100+RPM),,,2:00,4
Sprint,7,5,,,,,1:15,Z2,1:15,4
Sprint,7,6,,,2:30,Z2,,,2:30,4
Sprint,7,7,,,,,1:15,Z1-Z2,1:15,4
Sprint,8,1,,,,,,,0:00,4
Sprint,8,2,1:00,#5,,,1:00,Z2,2:00,4
Sprint,8,3,,,0:45,Trans (fast): Z2,0:15,Z2,1:00,4
Sprint,8,4,1:00,#1,1:00,Z1 (100+RPM),,,2:00,4
Sprint,8,5,,,,,1:00,Z2,1:00,4
Sprint,8,6,,,2:00,Z2,,,2:00,4
Sprint,8,7,,RACE,,RACE,,RACE,,4
